4 3 10 991 844
5 8 2 84 910 814
5 12 1 97 387 928
5 18 87 488 125 598
5 21 34 346 836 900
5 23 366 724 59 410
5 38 986 161 651 556
5 49 679 841 590 445
5 58 854 136 47 41
5 63 51 216 189 938
5 66 57 42 330 44
5 67 116 16 804 882
5 76 126 514 440 597
5 81 71 690 875 733
5 95 96 331 697 684
5 98 61 377 827 993
5 100 15 222 130 683
5 109 165 7 285 676
5 110 14 787 108 742
5 119 224 937 338 117
5 123 236 738 602 949
5 131 55 0 857 975
5 137 275 501 545 689
5 138 794 332 158 616
5 139 234 53 105 427
5 140 77 304 838 899
5 141 106 101 56 674
5 162 33 843 623 191
5 163 113 62 383 329
5 170 111 52 631 642
5 171 328 149 951 477
5 175 289 336 798 307
4 182 31 211 340
5 184 90 32 244 208
5 185 36 424 819 342
5 188 241 43 324 27
5 190 121 25 534 538
5 192 259 145 13 619
5 195 344 729 203 855
5 196 847 920 971 922
5 213 270 563 388 279
5 220 287 9 782 678
5 226 167 567 218 596
5 231 64 355 874 608
5 233 261 579 578 959
5 245 160 437 701 632
5 249 318 65 40 789
5 251 180 308 375 74
5 260 118 426 243 5
5 267 215 781 186 773
5 269 824 155 376 533
5 295 178 417 323 433
5 296 283 992 273 677
5 299 312 998 85 310
5 303 264 420 347 441
5 305 168 217 50 565
5 319 456 293 761 552
5 321 252 373 527 932
5 325 132 265 72 541
5 335 146 448 868 248
5 341 258 406 777 906
5 343 397 183 638 845
5 349 256 539 617 89
5 363 322 309 134 739
5 381 354 177 687 173
5 390 476 523 603 505
5 391 278 176 153 495
5 394 408 327 778 772
4 395 483 723 69
4 400 457 82 143
5 414 430 732 11 893
5 415 449 478 229 795
5 416 401 990 421 405
5 428 486 688 223 757
5 436 491 166 947 669
5 438 450 242 199 911
5 439 443 629 103 870
5 444 239 250 286 91
5 452 209 386 528 950
5 453 419 277 628 413
5 460 254 228 345 576
4 465 497 409 604
5 466 288 865 905 490
5 469 353 708 350 263
5 472 316 317 313 767
5 475 635 662 202 860
5 479 612 122 661 710
5 487 544 507 359 78
5 493 562 227 320 425
5 499 511 80 135 979
5 503 435 54 613 754
5 504 407 883 333 982
4 512 451 181 205
5 513 480 582 589 791
5 515 525 566 447 142
5 516 492 392 646 311
5 531 558 861 358 826
5 532 601 174 575 30
5 540 266 151 169 301
5 559 644 152 879 643
5 560 606 86 555 517
5 561 306 219 120 825
5 569 564 521 484 774
4 573 654 201 734
5 577 470 542 200 292
5 581 621 709 863 909
5 587 622 459 70 300
5 592 489 382 876 805
5 593 396 22 840 372
4 595 467 133 297
5 614 666 655 904 960
5 615 500 268 964 891
4 620 703 28 743
5 626 463 762 963 314
5 630 537 885 698 939
4 637 580 361 553
5 639 494 574 423 984
4 640 498 588 983
5 645 585 536 572 958
5 647 352 797 908 197
5 649 694 941 399 858
5 650 471 919 247 682
5 657 535 411 455 364
5 663 502 389 351 114
5 668 473 380 237 902
5 670 706 412 157 434
5 673 658 422 294 751
5 675 599 276 548 852
5 680 748 204 828 903
5 691 702 221 35 749
5 696 753 179 543 257
5 699 609 284 214 832
5 700 766 633 996 485
5 705 656 809 432 968
5 713 648 357 695 557
5 720 461 752 159 714
5 725 583 815 280 636
5 730 721 193 934 75
4 731 823 686 99
4 744 806 6 901
5 750 716 92 913 851
5 759 653 458 378 768
5 760 570 442 659 526
5 764 660 600 481 546
5 770 672 792 969 848
4 784 551 522 429
5 785 665 818 664 981
5 786 717 172 719 935
5 790 765 206 271 404
5 796 718 369 73 385
5 800 801 164 356 210
4 812 783 907 272
5 822 846 148 367 482
5 856 741 867 462 37
5 859 914 326 948 929
4 862 808 348 496
5 864 887 112 610 115
5 873 728 829 129 692
5 878 605 625 384 917
5 880 771 212 446 737
5 889 780 282 154 707
5 890 881 144 508 235
4 897 952 194 24
4 923 711 591 831
5 926 837 925 681 554
4 940 807 20 102
5 954 746 454 17 839
4 956 921 634 931
5 961 850 225 83 529
5 965 944 667 238 147
5 976 756 977 93 736
5 978 506 835 945 943
5 980 816 869 550 150
5 985 693 379 368 853
5 987 607 281 775 953
4 988 712 842 936
5 994 884 107 894 88
4 995 895 362 727
5 997 877 547 627 833
5 46 955 232 291 198
5 124 810 207 230 989
5 127 584 510 834 4
5 240 402 999 94 817
5 246 811 611 966 187
5 262 886 745 776 747
5 290 946 930 48 967
5 298 892 474 339 972
5 302 735 468 128 830
5 315 916 803 726 360
4 334 39 530 586
5 403 813 520 571 45
4 418 918 715 19
5 549 973 431 519 524
5 740 924 624 371 255
5 758 912 79 68 769
5 802 156 274 253 755
5 820 685 849 393 872
5 896 365 652 60 26
4 898 594 370 509
4 915 927 793 464
