File,Score,Execution Time (s),Vehicles,Number of Rides,Output Path,Status
1_30_00.in,268,0.001,1,30,./output_batch\1_30_00.out,OK
1_30_01.in,478,0.0,1,30,./output_batch\1_30_01.out,OK
1_30_02.in,736,0.0,1,30,./output_batch\1_30_02.out,OK
1_30_03.in,267,0.0,1,30,./output_batch\1_30_03.out,OK
1_30_04.in,736,0.0,1,30,./output_batch\1_30_04.out,OK
1_30_05.in,171,0.0,1,30,./output_batch\1_30_05.out,OK
1_30_06.in,257,0.0,1,30,./output_batch\1_30_06.out,OK
1_30_07.in,406,0.0,1,30,./output_batch\1_30_07.out,OK
1_30_08.in,249,0.001,1,30,./output_batch\1_30_08.out,OK
1_30_09.in,380,0.0,1,30,./output_batch\1_30_09.out,OK
1_30_10.in,268,0.0,1,30,./output_batch\1_30_10.out,OK
1_30_11.in,478,0.001,1,30,./output_batch\1_30_11.out,OK
1_30_12.in,736,0.0,1,30,./output_batch\1_30_12.out,OK
1_30_13.in,267,0.0,1,30,./output_batch\1_30_13.out,OK
1_30_14.in,736,0.002,1,30,./output_batch\1_30_14.out,OK
1_30_15.in,268,0.0,1,30,./output_batch\1_30_15.out,OK
1_30_16.in,275,0.001,1,30,./output_batch\1_30_16.out,OK
1_30_17.in,406,0.0,1,30,./output_batch\1_30_17.out,OK
1_30_18.in,267,0.0,1,30,./output_batch\1_30_18.out,OK
1_30_19.in,406,0.001,1,30,./output_batch\1_30_19.out,OK
2_30_00.in,268,0.001,2,30,./output_batch\2_30_00.out,OK
2_30_01.in,478,0.0,2,30,./output_batch\2_30_01.out,OK
2_30_02.in,736,0.0,2,30,./output_batch\2_30_02.out,OK
2_30_03.in,267,0.0,2,30,./output_batch\2_30_03.out,OK
2_30_04.in,736,0.001,2,30,./output_batch\2_30_04.out,OK
2_30_05.in,169,0.0,2,30,./output_batch\2_30_05.out,OK
2_30_06.in,246,0.0,2,30,./output_batch\2_30_06.out,OK
2_30_07.in,406,0.001,2,30,./output_batch\2_30_07.out,OK
2_30_08.in,204,0.0,2,30,./output_batch\2_30_08.out,OK
